group,model,preset,class,precision,recall,map50
group1_large,yolo11n,default,hand,0.8359,0.8981,0.8085
group1_large,yolo11n,default,scope_control_body,0.5369,0.6692,0.6089
group1_large,yolo11n,default,scope_mid_section,0.7521,0.3304,0.5013
group1_large,yolo11n,mild,hand,0.8141,0.8547,0.8269
group1_large,yolo11n,mild,scope_control_body,0.6269,0.4829,0.5515
group1_large,yolo11n,mild,scope_mid_section,0.7129,0.3266,0.3911
group1_large,yolo11n,mosaic_off,hand,0.7949,0.8795,0.8265
group1_large,yolo11n,mosaic_off,scope_control_body,0.5276,0.5714,0.5263
group1_large,yolo11n,mosaic_off,scope_mid_section,0.7576,0.3381,0.4838
group1_large,yolo11n,strong,hand,0.7947,0.9024,0.8289
group1_large,yolo11n,strong,scope_control_body,0.4957,0.6257,0.4601
group1_large,yolo11n,strong,scope_mid_section,0.5569,0.3467,0.4911
group1_large,yolo11s,default,hand,0.8345,0.8752,0.8598
group1_large,yolo11s,default,scope_control_body,0.5932,0.6041,0.6174
group1_large,yolo11s,default,scope_mid_section,0.7124,0.3266,0.4519
group1_large,yolo11s,mild,hand,0.816,0.8924,0.7998
group1_large,yolo11s,mild,scope_control_body,0.6729,0.4686,0.5645
group1_large,yolo11s,mild,scope_mid_section,0.6092,0.3037,0.3537
group1_large,yolo11s,mosaic_off,hand,0.7502,0.9125,0.8027
group1_large,yolo11s,mosaic_off,scope_control_body,0.4788,0.4857,0.4421
group1_large,yolo11s,mosaic_off,scope_mid_section,0.4178,0.4155,0.4729
group1_large,yolo11s,strong,hand,0.7885,0.8996,0.8496
group1_large,yolo11s,strong,scope_control_body,0.3592,0.5514,0.2848
group1_large,yolo11s,strong,scope_mid_section,0.7109,0.3009,0.4267
group2_small,yolo11s,default,syringe,0.5868,0.4519,0.4509
group2_small,yolo11s,default,air_gun,0.8709,0.2667,0.3137
group2_small,yolo11s,default,scope_distal_end,0.6174,0.1584,0.1532
group2_small,yolo11s,default,short_brush,0.0,0.0,0.0022
group2_small,yolo11s,default,brush_tip_out,1.0,0.0,0.0
group2_small,yolo11s,mild,syringe,0.0818,0.0758,0.0534
group2_small,yolo11s,mild,air_gun,0.6521,0.3467,0.3499
group2_small,yolo11s,mild,scope_distal_end,0.2944,0.1273,0.1368
group2_small,yolo11s,mild,short_brush,0.0063,0.0263,0.0014
group2_small,yolo11s,mild,brush_tip_out,0.0,0.0,0.0
group2_small,yolo11s,mosaic_off,syringe,0.3942,0.3944,0.3291
group2_small,yolo11s,mosaic_off,air_gun,0.5647,0.3374,0.3489
group2_small,yolo11s,mosaic_off,scope_distal_end,0.426,0.1636,0.1799
group2_small,yolo11s,mosaic_off,short_brush,1.0,0.0,0.0022
group2_small,yolo11s,mosaic_off,brush_tip_out,1.0,0.0,0.0
group2_small,yolo11s,strong,syringe,0.5675,0.4572,0.4832
group2_small,yolo11s,strong,air_gun,0.8766,0.2842,0.3455
group2_small,yolo11s,strong,scope_distal_end,0.4566,0.1236,0.1081
group2_small,yolo11s,strong,short_brush,0.0,0.0,0.002
group2_small,yolo11s,strong,brush_tip_out,1.0,0.0,0.0
